date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,fiscal_year,quarter,month,year,ev_market_share
2021-04-01,31,0,0,2906,2022,Q1,4,2021,0.0
2021-04-01,31,1,0,289,2022,Q1,4,2021,0.0
2021-05-01,1,0,0,4,2022,Q1,5,2021,0.0
2021-05-01,1,1,0,1,2022,Q1,5,2021,0.0
2021-05-01,3,0,0,552,2022,Q1,5,2021,0.0
2021-05-01,3,1,0,302,2022,Q1,5,2021,0.0
2021-05-01,4,0,0,14723,2022,Q1,5,2021,0.0
2021-05-01,4,1,0,3295,2022,Q1,5,2021,0.0
2021-05-01,5,1,0,2249,2022,Q1,5,2021,0.0
2021-05-01,6,0,0,411,2022,Q1,5,2021,0.0
2021-05-01,7,1,0,1387,2022,Q1,5,2021,0.0
2021-05-01,8,0,0,452,2022,Q1,5,2021,0.0
2021-05-01,8,1,0,202,2022,Q1,5,2021,0.0
2021-05-01,9,0,0,22,2022,Q1,5,2021,0.0
2021-05-01,9,1,0,21,2022,Q1,5,2021,0.0
2021-05-01,14,1,0,2372,2022,Q1,5,2021,0.0
2021-05-01,18,0,0,11,2022,Q1,5,2021,0.0
2021-05-01,18,1,0,70,2022,Q1,5,2021,0.0
2021-05-01,19,1,0,195,2022,Q1,5,2021,0.0
2021-05-01,21,0,0,288,2022,Q1,5,2021,0.0
2021-05-01,21,1,0,9,2022,Q1,5,2021,0.0
2021-05-01,22,0,0,332,2022,Q1,5,2021,0.0
2021-05-01,23,0,0,15,2022,Q1,5,2021,0.0
2021-05-01,23,1,0,4,2022,Q1,5,2021,0.0
2021-05-01,24,0,0,125,2022,Q1,5,2021,0.0
2021-05-01,24,1,0,126,2022,Q1,5,2021,0.0
2021-05-01,25,1,0,722,2022,Q1,5,2021,0.0
2021-05-01,27,1,0,5202,2022,Q1,5,2021,0.0
2021-05-01,31,0,0,2063,2022,Q1,5,2021,0.0
2021-05-01,31,1,0,192,2022,Q1,5,2021,0.0
2021-05-01,33,1,0,1145,2022,Q1,5,2021,0.0
2021-06-01,1,0,0,2,2022,Q1,6,2021,0.0
2021-06-01,3,0,0,727,2022,Q1,6,2021,0.0
2021-06-01,3,1,0,565,2022,Q1,6,2021,0.0
2021-06-01,18,0,0,3,2022,Q1,6,2021,0.0
2021-06-01,18,1,0,112,2022,Q1,6,2021,0.0
2021-06-01,21,0,0,89,2022,Q1,6,2021,0.0
2021-06-01,21,1,0,18,2022,Q1,6,2021,0.0
2021-06-01,22,0,0,354,2022,Q1,6,2021,0.0
2021-06-01,22,1,0,246,2022,Q1,6,2021,0.0
2021-06-01,23,0,0,648,2022,Q1,6,2021,0.0
2021-06-01,23,1,0,298,2022,Q1,6,2021,0.0
2021-06-01,24,0,0,42,2022,Q1,6,2021,0.0
2021-06-01,24,1,0,54,2022,Q1,6,2021,0.0
2021-06-01,26,1,0,445,2022,Q1,6,2021,0.0
2021-06-01,31,1,0,185,2022,Q1,6,2021,0.0
2021-07-01,1,0,0,467,2022,Q2,7,2021,0.0
2021-07-01,3,0,0,994,2022,Q2,7,2021,0.0
2021-07-01,3,1,0,661,2022,Q2,7,2021,0.0
2021-07-01,4,1,0,4988,2022,Q2,7,2021,0.0
2021-07-01,8,1,0,276,2022,Q2,7,2021,0.0
2021-07-01,18,0,0,51,2022,Q2,7,2021,0.0
2021-07-01,18,1,0,552,2022,Q2,7,2021,0.0
2021-07-01,21,0,0,474,2022,Q2,7,2021,0.0
2021-07-01,21,1,0,68,2022,Q2,7,2021,0.0
2021-07-01,22,0,0,726,2022,Q2,7,2021,0.0
2021-07-01,23,0,0,1096,2022,Q2,7,2021,0.0
2021-07-01,23,1,0,219,2022,Q2,7,2021,0.0
2021-07-01,24,0,0,583,2022,Q2,7,2021,0.0
2021-07-01,24,1,0,1039,2022,Q2,7,2021,0.0
2021-07-01,26,1,0,866,2022,Q2,7,2021,0.0
2021-07-01,31,0,0,2211,2022,Q2,7,2021,0.0
2021-07-01,31,1,0,352,2022,Q2,7,2021,0.0
2021-08-01,1,0,0,406,2022,Q2,8,2021,0.0
2021-08-01,3,0,0,1126,2022,Q2,8,2021,0.0
2021-08-01,3,1,0,758,2022,Q2,8,2021,0.0
2021-08-01,8,1,0,321,2022,Q2,8,2021,0.0
2021-08-01,13,1,0,3641,2022,Q2,8,2021,0.0
2021-08-01,14,1,0,5430,2022,Q2,8,2021,0.0
2021-08-01,18,0,0,30,2022,Q2,8,2021,0.0
2021-08-01,18,1,0,459,2022,Q2,8,2021,0.0
2021-08-01,21,0,0,1016,2022,Q2,8,2021,0.0
2021-08-01,21,1,0,561,2022,Q2,8,2021,0.0
2021-08-01,22,0,0,1041,2022,Q2,8,2021,0.0
2021-08-01,22,1,0,826,2022,Q2,8,2021,0.0
2021-08-01,23,0,0,1057,2022,Q2,8,2021,0.0
2021-08-01,23,1,0,240,2022,Q2,8,2021,0.0
2021-08-01,24,0,0,577,2022,Q2,8,2021,0.0
2021-08-01,24,1,0,763,2022,Q2,8,2021,0.0
2021-08-01,31,0,0,2462,2022,Q2,8,2021,0.0
2021-08-01,31,1,0,462,2022,Q2,8,2021,0.0
2021-09-01,1,0,0,329,2022,Q2,9,2021,0.0
2021-09-01,1,1,0,87,2022,Q2,9,2021,0.0
2021-09-01,3,0,0,1260,2022,Q2,9,2021,0.0
2021-09-01,3,1,0,637,2022,Q2,9,2021,0.0
2021-09-01,4,1,0,6036,2022,Q2,9,2021,0.0
2021-09-01,8,1,0,348,2022,Q2,9,2021,0.0
2021-09-01,18,0,0,26,2022,Q2,9,2021,0.0
2021-09-01,18,1,0,444,2022,Q2,9,2021,0.0
2021-09-01,21,0,0,3492,2022,Q2,9,2021,0.0
2021-09-01,21,1,0,1202,2022,Q2,9,2021,0.0
2021-09-01,22,0,0,1396,2022,Q2,9,2021,0.0
2021-09-01,22,1,0,905,2022,Q2,9,2021,0.0
2021-09-01,23,0,0,1465,2022,Q2,9,2021,0.0
2021-09-01,23,1,0,264,2022,Q2,9,2021,0.0
2021-09-01,24,1,0,681,2022,Q2,9,2021,0.0
2021-09-01,31,0,0,2736,2022,Q2,9,2021,0.0
2021-09-01,31,1,0,403,2022,Q2,9,2021,0.0
2021-10-01,1,0,0,360,2022,Q3,10,2021,0.0
2021-10-01,3,0,0,1109,2022,Q3,10,2021,0.0
2021-10-01,3,1,0,570,2022,Q3,10,2021,0.0
2021-10-01,4,1,0,5877,2022,Q3,10,2021,0.0
